"","tl","delta","prob_R0_above1"
"1",0,0,0.5
"2",1,-4,0.625
"3",1,-3,0.511811023622047
"4",1,-2,0.479390681003584
"5",1,-1,0.494294731731003
"6",1,0,0.50258746094961
"7",1,1,0.499266373215953
"8",1,2,0.465909090909091
"9",1,3,0.494736842105263
"10",1,4,0.2
"11",2,-4,0.466666666666667
"12",2,-3,0.471428571428571
"13",2,-2,0.474711623779947
"14",2,-1,0.490103789524499
"15",2,0,0.501659565452791
"16",2,1,0.503603343903142
"17",2,2,0.521017699115044
"18",2,3,0.48936170212766
"19",2,4,0.642857142857143
"20",2,6,0
"21",3,-4,0.5
"22",3,-3,0.492307692307692
"23",3,-2,0.476351351351351
"24",3,-1,0.486134555100072
"25",3,0,0.499436566813785
"26",3,1,0.519929660023447
"27",3,2,0.517490952955368
"28",3,3,0.630630630630631
"29",3,4,0.666666666666667
"30",3,5,1
"31",3,6,1
"32",4,-4,0.571428571428571
"33",4,-3,0.496240601503759
"34",4,-2,0.455021834061135
"35",4,-1,0.483560356975106
"36",4,0,0.496533208824559
"37",4,1,0.536087295401403
"38",4,2,0.599269183922046
"39",4,3,0.707547169811321
"40",4,4,0.769230769230769
"41",4,5,1
"42",5,-4,0.611111111111111
"43",5,-3,0.480314960629921
"44",5,-2,0.459684123025769
"45",5,-1,0.479852609057411
"46",5,0,0.494922029329057
"47",5,1,0.551823416506718
"48",5,2,0.606280193236715
"49",5,3,0.678260869565217
"50",5,4,0.75
"51",5,5,1
"52",6,-4,0.631578947368421
"53",6,-3,0.451851851851852
"54",6,-2,0.457364341085271
"55",6,-1,0.476568047337278
"56",6,0,0.4927506021864
"57",6,1,0.568711052804198
"58",6,2,0.64200477326969
"59",6,3,0.695238095238095
"60",6,4,0.785714285714286
"61",6,5,1
"62",6,6,1
"63",7,-4,0.523809523809524
"64",7,-3,0.477941176470588
"65",7,-2,0.443697478991597
"66",7,-1,0.473892313059658
"67",7,0,0.490964065589022
"68",7,1,0.575408742075409
"69",7,2,0.706473214285714
"70",7,3,0.75
"71",7,4,0.857142857142857
"72",7,5,1
"73",8,-4,0.583333333333333
"74",8,-3,0.394366197183099
"75",8,-2,0.45694799658994
"76",8,-1,0.46788665879575
"77",8,0,0.487187826692996
"78",8,1,0.604503753127606
"79",8,2,0.702702702702703
"80",8,3,0.81437125748503
"81",8,4,0.888888888888889
"82",8,5,1
"83",8,6,1
"84",8,7,1
"85",9,-4,0.470588235294118
"86",9,-3,0.420289855072464
"87",9,-2,0.449958643507031
"88",9,-1,0.461987621160808
"89",9,0,0.485942841197126
"90",9,1,0.619620467638089
"91",9,2,0.734098018769552
"92",9,3,0.832369942196532
"93",9,4,0.875
"94",9,5,1
"95",10,-4,0.5
"96",10,-3,0.463576158940397
"97",10,-2,0.43936877076412
"98",10,-1,0.464508534432019
"99",10,0,0.483080214898714
"100",10,1,0.626847918436704
"101",10,2,0.768328445747801
"102",10,3,0.856382978723404
"103",10,4,0.944444444444444
"104",10,5,1
"105",10,6,1
"106",10,7,1
"107",11,-4,0.5
"108",11,-3,0.434782608695652
"109",11,-2,0.438287153652393
"110",11,-1,0.459922996149807
"111",11,0,0.479796684464548
"112",11,1,0.651443123938879
"113",11,2,0.785228377065112
"114",11,3,0.873239436619718
"115",11,4,0.911111111111111
"116",11,5,1
"117",11,6,1
"118",11,7,1
"119",12,-4,0.333333333333333
"120",12,-3,0.463768115942029
"121",12,-2,0.439084219133279
"122",12,-1,0.454100081651697
"123",12,0,0.47936014115899
"124",12,1,0.659928443649374
"125",12,2,0.82046511627907
"126",12,3,0.888888888888889
"127",12,4,0.931034482758621
"128",12,5,1
"129",12,6,1
"130",12,8,1
"131",13,-4,0.444444444444444
"132",13,-3,0.465648854961832
"133",13,-2,0.424166666666667
"134",13,-1,0.454012888107791
"135",13,0,0.476063953759381
"136",13,1,0.674402125775022
"137",13,2,0.8149377593361
"138",13,3,0.898876404494382
"139",13,4,1
"140",13,5,0.9375
"141",13,6,1
"142",14,-4,0.428571428571429
"143",14,-3,0.452702702702703
"144",14,-2,0.41631973355537
"145",14,-1,0.451575262543757
"146",14,0,0.474242671579487
"147",14,1,0.692749461593683
"148",14,2,0.806451612903226
"149",14,3,0.946843853820598
"150",14,4,0.957746478873239
"151",14,5,1
"152",14,6,1
"153",14,7,1
"154",14,8,1
"155",15,-4,0.357142857142857
"156",15,-3,0.429577464788732
"157",15,-2,0.414777497900924
"158",15,-1,0.451371862230006
"159",15,0,0.472790697674419
"160",15,1,0.699479940564636
"161",15,2,0.842732327243844
"162",15,3,0.923076923076923
"163",15,4,0.969387755102041
"164",15,5,0.958333333333333
"165",15,6,1
"166",15,7,1
"167",16,-4,0.5625
"168",16,-3,0.391608391608392
"169",16,-2,0.415450643776824
"170",16,-1,0.444575471698113
"171",16,0,0.473082099596231
"172",16,1,0.701486918878223
"173",16,2,0.852395672333848
"174",16,3,0.918181818181818
"175",16,4,0.972477064220184
"176",16,5,0.976190476190476
"177",16,6,1
"178",16,7,1
"179",16,8,1
"180",16,9,1
"181",17,-4,0.4375
"182",17,-3,0.412213740458015
"183",17,-2,0.409628378378378
"184",17,-1,0.443266542404473
"185",17,0,0.46955710955711
"186",17,1,0.718261532596264
"187",17,2,0.868421052631579
"188",17,3,0.945454545454545
"189",17,4,0.992248062015504
"190",17,5,1
"191",17,6,1
"192",17,7,1
"193",17,8,1
"194",18,-4,0.466666666666667
"195",18,-3,0.426573426573427
"196",18,-2,0.392767031118587
"197",18,-1,0.443103246220555
"198",18,0,0.467452588416197
"199",18,1,0.730686904066939
"200",18,2,0.876074498567335
"201",18,3,0.953917050691244
"202",18,4,0.993150684931507
"203",18,5,1
"204",18,6,1
"205",18,7,1
"206",18,8,1
"207",18,9,1
"208",19,-4,0.333333333333333
"209",19,-3,0.4375
"210",19,-2,0.405907172995781
"211",19,-1,0.438129833606749
"212",19,0,0.465841699743171
"213",19,1,0.738030888030888
"214",19,2,0.895114942528736
"215",19,3,0.946784922394678
"216",19,4,0.98159509202454
"217",19,5,0.984848484848485
"218",19,6,0.96
"219",19,7,1
"220",19,8,1
"221",19,9,1
"222",19,11,1
"223",20,-4,0.411764705882353
"224",20,-3,0.412587412587413
"225",20,-2,0.391959798994975
"226",20,-1,0.435523686375926
"227",20,0,0.464949560993835
"228",20,1,0.747442958300551
"229",20,2,0.88780487804878
"230",20,3,0.967432950191571
"231",20,4,0.987730061349693
"232",20,5,0.985294117647059
"233",20,6,1
"234",20,7,1
"235",20,8,1
"236",21,-4,0.4
"237",21,-3,0.398550724637681
"238",21,-2,0.399503722084367
"239",21,-1,0.43334114339269
"240",21,0,0.463297063297063
"241",21,1,0.750149910053968
"242",21,2,0.90495867768595
"243",21,3,0.968864468864469
"244",21,4,0.980769230769231
"245",21,5,1
"246",21,6,1
"247",21,7,1
"248",21,8,1
"249",21,9,1
"250",21,10,1
"251",22,-4,0.421052631578947
"252",22,-3,0.415384615384615
"253",22,-2,0.384156729131175
"254",22,-1,0.427931644077784
"255",22,0,0.462127779209521
"256",22,1,0.758303321328531
"257",22,2,0.908007941760424
"258",22,3,0.95993031358885
"259",22,4,0.966101694915254
"260",22,5,1
"261",22,6,1
"262",22,7,1
"263",22,8,1
"264",22,9,1
"265",22,10,1
"266",23,-4,0.384615384615385
"267",23,-3,0.385185185185185
"268",23,-2,0.386610878661088
"269",23,-1,0.428974932329057
"270",23,0,0.459290726875865
"271",23,1,0.772662164927358
"272",23,2,0.910161090458488
"273",23,3,0.956228956228956
"274",23,4,0.987603305785124
"275",23,5,0.991935483870968
"276",23,6,1
"277",23,7,1
"278",23,8,1
"279",23,9,1
"280",23,10,1
"281",23,11,1
"282",24,-4,0.411764705882353
"283",24,-3,0.381679389312977
"284",24,-2,0.390756302521008
"285",24,-1,0.424403496338294
"286",24,0,0.458052548780201
"287",24,1,0.778875849289685
"288",24,2,0.915170278637771
"289",24,3,0.975767366720517
"290",24,4,0.985185185185185
"291",24,5,1
"292",24,6,1
"293",24,7,1
"294",24,8,1
"295",24,9,1
"296",24,11,1
"297",24,12,1
"298",25,-4,0.375
"299",25,-3,0.395833333333333
"300",25,-2,0.382504288164666
"301",25,-1,0.425023651844844
"302",25,0,0.456041119038678
"303",25,1,0.791648822269807
"304",25,2,0.910604192355117
"305",25,3,0.967189728958631
"306",25,4,0.993957703927492
"307",25,5,0.993710691823899
"308",25,6,1
"309",25,7,1
"310",25,8,1
"311",25,9,1
"312",25,10,1
"313",25,11,1
"314",25,13,1
"315",26,-4,0.4375
"316",26,-3,0.368794326241135
"317",26,-2,0.385328836424958
"318",26,-1,0.423063276167948
"319",26,0,0.454960574320348
"320",26,1,0.791720569210867
"321",26,2,0.918854415274463
"322",26,3,0.954787234042553
"323",26,4,0.990683229813665
"324",26,5,1
"325",26,6,1
"326",26,7,1
"327",26,8,1
"328",26,9,1
"329",26,10,1
"330",26,11,1
"331",26,12,1
"332",27,-4,0.333333333333333
"333",27,-3,0.369565217391304
"334",27,-2,0.377185678601166
"335",27,-1,0.41709442521189
"336",27,0,0.453263867606497
"337",27,1,0.801636872711609
"338",27,2,0.928571428571429
"339",27,3,0.963562753036437
"340",27,4,0.985422740524781
"341",27,5,0.98314606741573
"342",27,6,1
"343",27,7,1
"344",27,8,1
"345",27,9,1
"346",27,10,1
"347",27,11,1
"348",27,12,1
"349",27,13,1
"350",28,-4,0.5
"351",28,-3,0.367647058823529
"352",28,-2,0.38034188034188
"353",28,-1,0.416458556308717
"354",28,0,0.451049446913113
"355",28,1,0.805194805194805
"356",28,2,0.926494788809654
"357",28,3,0.970886075949367
